well_a,well_b,best_correlation,best_lag,direction,all_correlations
GP-100,GW-1,-0.5509543194003823,6,GP-100 leads GW-1,"[(-10, np.float64(-0.5089792897132498), 'GW-1 leads GP-100'), (-9, np.float64(-0.5140664940351), 'GW-1 leads GP-100'), (-8, np.float64(-0.5185626258794637), 'GW-1 leads GP-100'), (-7, np.float64(-0.5223142603286598), 'GW-1 leads GP-100'), (-6, np.float64(-0.5261173899100964), 'GW-1 leads GP-100'), (-5, np.float64(-0.5298212393821243), 'GW-1 leads GP-100'), (-4, np.float64(-0.533294065114966), 'GW-1 leads GP-100'), (-3, np.float64(-0.535720340448006), 'GW-1 leads GP-100'), (-2, np.float64(-0.5375890498894726), 'GW-1 leads GP-100'), (-1, np.float64(-0.5387577325071679), 'GW-1 leads GP-100'), (0, np.float64(-0.5390044960194594), 'simultaneous'), (1, np.float64(-0.5436477787487098), 'GP-100 leads GW-1'), (2, np.float64(-0.5469782669035546), 'GP-100 leads GW-1'), (3, np.float64(-0.5491486341022948), 'GP-100 leads GW-1'), (4, np.float64(-0.5502841880951554), 'GP-100 leads GW-1'), (5, np.float64(-0.5508830107859832), 'GP-100 leads GW-1'), (6, np.float64(-0.5509543194003823), 'GP-100 leads GW-1'), (7, np.float64(-0.5505063423871588), 'GP-100 leads GW-1'), (8, np.float64(-0.549601842742856), 'GP-100 leads GW-1'), (9, np.float64(-0.5484396992004326), 'GP-100 leads GW-1'), (10, np.float64(-0.547048444094392), 'GP-100 leads GW-1')]"
GP-100,GW-10,-0.5508512868371386,10,GP-100 leads GW-10,"[(-10, np.float64(-0.42856241526648536), 'GW-10 leads GP-100'), (-9, np.float64(-0.43562454283770746), 'GW-10 leads GP-100'), (-8, np.float64(-0.44324180631338495), 'GW-10 leads GP-100'), (-7, np.float64(-0.45133028499658173), 'GW-10 leads GP-100'), (-6, np.float64(-0.4597173047420358), 'GW-10 leads GP-100'), (-5, np.float64(-0.4681475013622409), 'GW-10 leads GP-100'), (-4, np.float64(-0.47639039643878234), 'GW-10 leads GP-100'), (-3, np.float64(-0.48340989701339515), 'GW-10 leads GP-100'), (-2, np.float64(-0.48969642946439834), 'GW-10 leads GP-100'), (-1, np.float64(-0.49499245833837485), 'GW-10 leads GP-100'), (0, np.float64(-0.49915880524251427), 'simultaneous'), (1, np.float64(-0.509236625076256), 'GP-100 leads GW-10'), (2, np.float64(-0.5181577542840545), 'GP-100 leads GW-10'), (3, np.float64(-0.5258083009622108), 'GP-100 leads GW-10'), (4, np.float64(-0.532005723934769), 'GP-100 leads GW-10'), (5, np.float64(-0.5371630684228607), 'GP-100 leads GW-10'), (6, np.float64(-0.5413440281627091), 'GP-100 leads GW-10'), (7, np.float64(-0.5446152761813364), 'GP-100 leads GW-10'), (8, np.float64(-0.5471208357132591), 'GP-100 leads GW-10'), (9, np.float64(-0.5490801919437006), 'GP-100 leads GW-10'), (10, np.float64(-0.5508512868371386), 'GP-100 leads GW-10')]"
GP-100,GW-11,-0.5172813608418049,8,GP-100 leads GW-11,"[(-10, np.float64(-0.43426774439084204), 'GW-11 leads GP-100'), (-9, np.float64(-0.43963043664158546), 'GW-11 leads GP-100'), (-8, np.float64(-0.4459970917688788), 'GW-11 leads GP-100'), (-7, np.float64(-0.4529828959066988), 'GW-11 leads GP-100'), (-6, np.float64(-0.4603248197127422), 'GW-11 leads GP-100'), (-5, np.float64(-0.4677431673823885), 'GW-11 leads GP-100'), (-4, np.float64(-0.47495019876799616), 'GW-11 leads GP-100'), (-3, np.float64(-0.48172212062025505), 'GW-11 leads GP-100'), (-2, np.float64(-0.48720309400219763), 'GW-11 leads GP-100'), (-1, np.float64(-0.4917591428567904), 'GW-11 leads GP-100'), (0, np.float64(-0.49517895814660084), 'simultaneous'), (1, np.float64(-0.4989939603509654), 'GP-100 leads GW-11'), (2, np.float64(-0.5048727174296462), 'GP-100 leads GW-11'), (3, np.float64(-0.509208432591262), 'GP-100 leads GW-11'), (4, np.float64(-0.5122515102055432), 'GP-100 leads GW-11'), (5, np.float64(-0.514642627304506), 'GP-100 leads GW-11'), (6, np.float64(-0.5163291911756643), 'GP-100 leads GW-11'), (7, np.float64(-0.517231002637912), 'GP-100 leads GW-11'), (8, np.float64(-0.5172813608418049), 'GP-100 leads GW-11'), (9, np.float64(-0.5166691370783336), 'GP-100 leads GW-11'), (10, np.float64(-0.5157702374795926), 'GP-100 leads GW-11')]"
GP-100,GW-12,-0.5411444533333593,7,GP-100 leads GW-12,"[(-10, np.float64(-0.46980240379389104), 'GW-12 leads GP-100'), (-9, np.float64(-0.47471438673039906), 'GW-12 leads GP-100'), (-8, np.float64(-0.47999306067176695), 'GW-12 leads GP-100'), (-7, np.float64(-0.4855732861135604), 'GW-12 leads GP-100'), (-6, np.float64(-0.4913342369308193), 'GW-12 leads GP-100'), (-5, np.float64(-0.4970900836063315), 'GW-12 leads GP-100'), (-4, np.float64(-0.5026655063568072), 'GW-12 leads GP-100'), (-3, np.float64(-0.5072230740915933), 'GW-12 leads GP-100'), (-2, np.float64(-0.5111890714240532), 'GW-12 leads GP-100'), (-1, np.float64(-0.5143725133613046), 'GW-12 leads GP-100'), (0, np.float64(-0.5166061580884038), 'simultaneous'), (1, np.float64(-0.5234260102995941), 'GP-100 leads GW-12'), (2, np.float64(-0.529068580873144), 'GP-100 leads GW-12'), (3, np.float64(-0.5335169140749456), 'GP-100 leads GW-12'), (4, np.float64(-0.5367043398405892), 'GP-100 leads GW-12'), (5, np.float64(-0.5390143618419709), 'GP-100 leads GW-12'), (6, np.float64(-0.540482649510876), 'GP-100 leads GW-12'), (7, np.float64(-0.5411444533333593), 'GP-100 leads GW-12'), (8, np.float64(-0.5410761159931778), 'GP-100 leads GW-12'), (9, np.float64(-0.5404630791186428), 'GP-100 leads GW-12'), (10, np.float64(-0.5396022983748341), 'GP-100 leads GW-12')]"
GP-100,GW-13,-0.5112503147560384,-4,GW-13 leads GP-100,"[(-10, np.float64(-0.5012525455982937), 'GW-13 leads GP-100'), (-9, np.float64(-0.5042560477063297), 'GW-13 leads GP-100'), (-8, np.float64(-0.5068695830322713), 'GW-13 leads GP-100'), (-7, np.float64(-0.5088942291083416), 'GW-13 leads GP-100'), (-6, np.float64(-0.5103383901051095), 'GW-13 leads GP-100'), (-5, np.float64(-0.5111392343155459), 'GW-13 leads GP-100'), (-4, np.float64(-0.5112503147560384), 'GW-13 leads GP-100'), (-3, np.float64(-0.5100185052003144), 'GW-13 leads GP-100'), (-2, np.float64(-0.5079418776212551), 'GW-13 leads GP-100'), (-1, np.float64(-0.5049766884957628), 'GW-13 leads GP-100'), (0, np.float64(-0.500895112145407), 'simultaneous'), (1, np.float64(-0.5009655409798786), 'GP-100 leads GW-13'), (2, np.float64(-0.49945607692916955), 'GP-100 leads GW-13'), (3, np.float64(-0.4967765607504519), 'GP-100 leads GW-13'), (4, np.float64(-0.4933114336192846), 'GP-100 leads GW-13'), (5, np.float64(-0.48959689777883403), 'GP-100 leads GW-13'), (6, np.float64(-0.48557729624508394), 'GP-100 leads GW-13'), (7, np.float64(-0.48119412523201516), 'GP-100 leads GW-13'), (8, np.float64(-0.47640768630563907), 'GP-100 leads GW-13'), (9, np.float64(-0.4713391520976724), 'GP-100 leads GW-13'), (10, np.float64(-0.4661807069050066), 'GP-100 leads GW-13')]"
GP-100,GW-14,-0.5778097635222335,10,GP-100 leads GW-14,"[(-10, np.float64(-0.3997621904537126), 'GW-14 leads GP-100'), (-9, np.float64(-0.4082556550525565), 'GW-14 leads GP-100'), (-8, np.float64(-0.41727446999533685), 'GW-14 leads GP-100'), (-7, np.float64(-0.4268000780046367), 'GW-14 leads GP-100'), (-6, np.float64(-0.43667909355455536), 'GW-14 leads GP-100'), (-5, np.float64(-0.44666810561378867), 'GW-14 leads GP-100'), (-4, np.float64(-0.45656568040512047), 'GW-14 leads GP-100'), (-3, np.float64(-0.465453096312758), 'GW-14 leads GP-100'), (-2, np.float64(-0.47377985941884065), 'GW-14 leads GP-100'), (-1, np.float64(-0.4813366820298418), 'GW-14 leads GP-100'), (0, np.float64(-0.4881510998542678), 'simultaneous'), (1, np.float64(-0.5017073820592828), 'GP-100 leads GW-14'), (2, np.float64(-0.5148017996717711), 'GP-100 leads GW-14'), (3, np.float64(-0.5269723101970534), 'GP-100 leads GW-14'), (4, np.float64(-0.5377390090525492), 'GP-100 leads GW-14'), (5, np.float64(-0.5470712890519843), 'GP-100 leads GW-14'), (6, np.float64(-0.5551060185416317), 'GP-100 leads GW-14'), (7, np.float64(-0.5619856315862741), 'GP-100 leads GW-14'), (8, np.float64(-0.5679554175387702), 'GP-100 leads GW-14'), (9, np.float64(-0.5731359119944108), 'GP-100 leads GW-14'), (10, np.float64(-0.5778097635222335), 'GP-100 leads GW-14')]"
GP-100,GW-15,-0.570537538842774,9,GP-100 leads GW-15,"[(-10, np.float64(-0.445874073955573), 'GW-15 leads GP-100'), (-9, np.float64(-0.45200407580564284), 'GW-15 leads GP-100'), (-8, np.float64(-0.4596364578434526), 'GW-15 leads GP-100'), (-7, np.float64(-0.46870320169083834), 'GW-15 leads GP-100'), (-6, np.float64(-0.47817933786360867), 'GW-15 leads GP-100'), (-5, np.float64(-0.48784248491143267), 'GW-15 leads GP-100'), (-4, np.float64(-0.4974927160525962), 'GW-15 leads GP-100'), (-3, np.float64(-0.506175995542039), 'GW-15 leads GP-100'), (-2, np.float64(-0.5143739750747258), 'GW-15 leads GP-100'), (-1, np.float64(-0.521881999482374), 'GW-15 leads GP-100'), (0, np.float64(-0.5280152507010187), 'simultaneous'), (1, np.float64(-0.5390317170454318), 'GP-100 leads GW-15'), (2, np.float64(-0.5474659179441188), 'GP-100 leads GW-15'), (3, np.float64(-0.5538568973774091), 'GP-100 leads GW-15'), (4, np.float64(-0.5587062989536988), 'GP-100 leads GW-15'), (5, np.float64(-0.5629904100971698), 'GP-100 leads GW-15'), (6, np.float64(-0.5664849660928585), 'GP-100 leads GW-15'), (7, np.float64(-0.5689617251065915), 'GP-100 leads GW-15'), (8, np.float64(-0.5702519118450657), 'GP-100 leads GW-15'), (9, np.float64(-0.570537538842774), 'GP-100 leads GW-15'), (10, np.float64(-0.5704019786700406), 'GP-100 leads GW-15')]"
GP-100,GW-17,-0.2693754728589221,-10,GW-17 leads GP-100,"[(-10, np.float64(-0.2693754728589221), 'GW-17 leads GP-100'), (-9, np.float64(-0.2669715835224552), 'GW-17 leads GP-100'), (-8, np.float64(-0.2647683969640424), 'GW-17 leads GP-100'), (-7, np.float64(-0.26269239433945485), 'GW-17 leads GP-100'), (-6, np.float64(-0.2607070008455942), 'GW-17 leads GP-100'), (-5, np.float64(-0.25873696653341816), 'GW-17 leads GP-100'), (-4, np.float64(-0.2567111240300348), 'GW-17 leads GP-100'), (-3, np.float64(-0.2540040809537093), 'GW-17 leads GP-100'), (-2, np.float64(-0.2510289497593392), 'GW-17 leads GP-100'), (-1, np.float64(-0.24771130857876988), 'GW-17 leads GP-100'), (0, np.float64(-0.24420327753606302), 'simultaneous'), (1, np.float64(-0.2450931884740582), 'GP-100 leads GW-17'), (2, np.float64(-0.24595953572999651), 'GP-100 leads GW-17'), (3, np.float64(-0.24673349605199224), 'GP-100 leads GW-17'), (4, np.float64(-0.24734176663704083), 'GP-100 leads GW-17'), (5, np.float64(-0.24771071532687577), 'GP-100 leads GW-17'), (6, np.float64(-0.24787650532598088), 'GP-100 leads GW-17'), (7, np.float64(-0.24787470469195347), 'GP-100 leads GW-17'), (8, np.float64(-0.24772753293209837), 'GP-100 leads GW-17'), (9, np.float64(-0.24744808639444849), 'GP-100 leads GW-17'), (10, np.float64(-0.2471497150597211), 'GP-100 leads GW-17')]"
GP-100,GW-2,-0.5292090595049314,2,GP-100 leads GW-2,"[(-10, np.float64(-0.5171893675858374), 'GW-2 leads GP-100'), (-9, np.float64(-0.519062406253786), 'GW-2 leads GP-100'), (-8, np.float64(-0.5210313165532481), 'GW-2 leads GP-100'), (-7, np.float64(-0.5229288910501149), 'GW-2 leads GP-100'), (-6, np.float64(-0.5247324011048397), 'GW-2 leads GP-100'), (-5, np.float64(-0.5263696648951054), 'GW-2 leads GP-100'), (-4, np.float64(-0.5277582424988887), 'GW-2 leads GP-100'), (-3, np.float64(-0.5282545057088139), 'GW-2 leads GP-100'), (-2, np.float64(-0.5282887634514466), 'GW-2 leads GP-100'), (-1, np.float64(-0.527769774270834), 'GW-2 leads GP-100'), (0, np.float64(-0.5263561004264498), 'simultaneous'), (1, np.float64(-0.5285314071989826), 'GP-100 leads GW-2'), (2, np.float64(-0.5292090595049314), 'GP-100 leads GW-2'), (3, np.float64(-0.5287473886040953), 'GP-100 leads GW-2'), (4, np.float64(-0.5274752988773127), 'GP-100 leads GW-2'), (5, np.float64(-0.5259041083711218), 'GP-100 leads GW-2'), (6, np.float64(-0.5239225393332223), 'GP-100 leads GW-2'), (7, np.float64(-0.5214184195267899), 'GP-100 leads GW-2'), (8, np.float64(-0.5182721417315381), 'GP-100 leads GW-2'), (9, np.float64(-0.5145909534268586), 'GP-100 leads GW-2'), (10, np.float64(-0.5105393861098794), 'GP-100 leads GW-2')]"
GP-100,GW-3,-0.5522717585908701,4,GP-100 leads GW-3,"[(-10, np.float64(-0.5121110613622204), 'GW-3 leads GP-100'), (-9, np.float64(-0.5157563175405684), 'GW-3 leads GP-100'), (-8, np.float64(-0.5197493687647138), 'GW-3 leads GP-100'), (-7, np.float64(-0.5238889177336654), 'GW-3 leads GP-100'), (-6, np.float64(-0.5280957049770634), 'GW-3 leads GP-100'), (-5, np.float64(-0.532258566355706), 'GW-3 leads GP-100'), (-4, np.float64(-0.5362313605816083), 'GW-3 leads GP-100'), (-3, np.float64(-0.5392790022451162), 'GW-3 leads GP-100'), (-2, np.float64(-0.5417997499852852), 'GW-3 leads GP-100'), (-1, np.float64(-0.5436358699860054), 'GW-3 leads GP-100'), (0, np.float64(-0.5443888594422766), 'simultaneous'), (1, np.float64(-0.5486276363229139), 'GP-100 leads GW-3'), (2, np.float64(-0.5511123209514147), 'GP-100 leads GW-3'), (3, np.float64(-0.5522224458301213), 'GP-100 leads GW-3'), (4, np.float64(-0.5522717585908701), 'GP-100 leads GW-3'), (5, np.float64(-0.5518910148998392), 'GP-100 leads GW-3'), (6, np.float64(-0.550956669522742), 'GP-100 leads GW-3'), (7, np.float64(-0.5493456458876482), 'GP-100 leads GW-3'), (8, np.float64(-0.546914387041634), 'GP-100 leads GW-3'), (9, np.float64(-0.5438484143561124), 'GP-100 leads GW-3'), (10, np.float64(-0.5403782298487592), 'GP-100 leads GW-3')]"
