well1,well2,correlation,p_value,lag,sample_size,abs_correlation,empirical_p
GW-1,GW-5,0.9628474634765056,0.0,0,1072,0.9628474634765056,0.0
GW-1,GW-12,0.9598816172728143,0.0,-1,1071,0.9598816172728143,0.0
GW-12,GW-6,0.9579986619450919,0.0,0,1072,0.9579986619450919,0.0
GW-12,GW-13,0.9578241801669813,0.0,0,1072,0.9578241801669813,0.0
GW-12,GW-5,0.9570902042950327,0.0,0,1072,0.9570902042950327,0.0
GW-13,GW-5,0.9528090796270462,0.0,0,1072,0.9528090796270462,0.0
GW-11,GW-12,0.9476976781454172,0.0,0,1072,0.9476976781454172,0.0
GW-10,GW-9,0.9464031005224689,0.0,0,1072,0.9464031005224689,0.0
GW-15,GW-6,0.9455911329937166,0.0,-1,1071,0.9455911329937166,0.0
GW-10,GW-15,0.9450371078785316,0.0,0,1072,0.9450371078785316,0.0
GW-10,GW-6,0.9436292056311337,0.0,0,1072,0.9436292056311337,0.0
GW-1,GW-13,0.9418235866906879,0.0,-1,1071,0.9418235866906879,0.0
GW-12,GW-8,0.9403021411726724,0.0,0,1072,0.9403021411726724,0.0
GW-15,GW-9,0.939984001899876,0.0,0,1072,0.939984001899876,0.0
GW-14,GW-6,0.9393978050760727,0.0,-1,1071,0.9393978050760727,0.0
GW-10,GW-5,0.9391300800808726,0.0,0,1072,0.9391300800808726,0.0
GW-12,GW-14,0.9389609227503632,0.0,2,1070,0.9389609227503632,0.0
GW-10,GW-12,0.9372105027619662,0.0,0,1072,0.9372105027619662,0.0
GW-5,GW-6,0.9371879155480546,0.0,0,1072,0.9371879155480546,0.0
GW-1,GW-6,0.9365708877551037,0.0,0,1072,0.9365708877551037,0.0
GW-12,GW-15,0.9358798277528424,0.0,2,1070,0.9358798277528424,0.0
GW-11,GW-13,0.9342018431653111,0.0,0,1072,0.9342018431653111,0.0
GW-1,GW-11,0.9319893219449573,0.0,0,1072,0.9319893219449573,0.0
GW-14,GW-5,0.9319102099451454,0.0,-2,1070,0.9319102099451454,0.0
