well_id,x,y
GW-15,277,226
GW-13,347,358
GW-2,381,252
GW-1,335,165
GW-12,303,93
GW-11,248,132
GW-10,202,191
GW-9,182,279
GW-14,233,348
GW-6,270,453
GW-5,352,455
GW-4,434,404
GP-13,81,227
GP-100,41,462
GP-12,133,503
GW-17,177,425
GW-8,160,354
GW-3,438,316
GW-32,530,907
EW-29,523,893
GW-62,558,831
EW-33,604,848
GW-42,618,803
GW-63,648,806
GW-30,674,821
GW-64,708,794
EW-37,745,813
EW-34,754,757
GW-31,782,843
GW-65,788,788
GW-49,846,815
GW-36,827,744
GW-50,868,770
GW-61,864,697
GW-48,902,738
GW-38,910,807
GW-68,967,794
GW-39,976,810
GW-35,960,762
GW-52,988,738
GW-47,1027,757
GW-55,1045,691
GW-54,1053,730
GW-67,1056,774
GW-40,1049,809
GW-66,1092,722
GW-53,1091,804
GW-58,1114,686
GW-46,1106,756
GW-57,1139,742
GW-59,1182,700
GW-56,1182,805
GW-41,1128,844
